imo,vessel_name,gross_tonnage,type,year_built,flag
9343687,A FUKU,9610,Container Ship,2007,Panama (PAN)
9354662,A. IDEFIX,18263,Container Ship,2008,Malta (MLT)
9343699,A KOU,9610,Container Ship,2007,Panama (PAN)
9386524,A LA MARINE,16023,Container Ship,2009,Belgium (BEL)
9354674,A. OBELIX,18199,Container Ship,2008,Malta (MLT)
9303807,ABIDJAN EXPRESS,28592,Container Ship,2006,Malta (MLT)
9379636,ABTIN 1,9957,Container Ship,2008,Iran (IRN)
9349667,ABYAN,75395,Container Ship,2008,Iran (IRN)
9338307,ACACIA LIBRA,9954,Container Ship,2007,"Hong Kong, China (HKG)"
9505522,ACACIA MING,7170,Container Ship,2010,Panama (PAN)
9401697,ACACIA REI,18326,Container Ship,2010,Singapore (SGP)
9338292,ACACIA VIRGO,9954,Container Ship,2007,Panama (PAN)
9400590,ACACIA WA,7170,Container Ship,2006,Panama (PAN)
9433066,ACRUX N,18326,Container Ship,2010,Cyprus (CYP)
9395525,ACTUARIA,75752,Container Ship,2009,Portugal (MAR) (PMD)
9360611,ACX CRYSTAL,29060,Container Ship,2008,Philippines (PHL)
9360609,ACX DIAMOND,29060,Container Ship,2008,Singapore (SGP)
9360623,ACX PEARL,29060,Container Ship,2008,Liberia (LBR)
9303766,ADELHEID-S.,35581,Container Ship,2006,Antigua and Barbuda (ATG)
9306079,ADELINA D,15487,Container Ship,2006,Portugal (MAR) (PMD)
9365843,ADMIRAL GALAXY,21092,Container Ship,2008,Liberia (LBR)
9398242,ADRIAN SCHULTE,75582,Container Ship,2009,Malta (MLT)
9359105,AFRICA SUN,9956,Container Ship,2006,Djibouti (DJI)
9315381,AGAMEMNON,89776,Container Ship,2007,Liberia (LBR)
9354337,AILA,9131,Container Ship,2007,Finland (FIN)
9492878,AKASHIA,2979,Container Ship,2007,Indonesia (IDN)
9349514,AL BAHIA,75579,Container Ship,2008,Liberia (LBR)
9415997,AL BIDDA,9955,Container Ship,2009,Qatar (QAT)
9349552,AL HILAL,75579,Container Ship,2008,Liberia (LBR)
9349502,AL KHARJ,75579,Container Ship,2008,Liberia (LBR)
9349538,AL MANAMAH,75579,Container Ship,2008,Liberia (LBR)
9349564,AL RAWDAH,75579,Container Ship,2008,Marshall Islands (MHL)
9300984,AL REEM I,32968,Container Ship,2006,United Arab Emirates (ARE)
9416006,AL RUMEILA,9955,Container Ship,2009,Qatar (QAT)
9349497,AL SAFAT,75579,Container Ship,2008,Liberia (LBR)
9471226,ALABAMA,40542,Container Ship,2010,Marshall Islands (MHL)
9301990,ALDEBARAN,32903,Container Ship,2008,Malta (MLT)
9349186,ALDEBARAN J,8273,Container Ship,2006,Antigua and Barbuda (ATG)
9341122,ALDI WAVE,28616,Container Ship,2008,Cyprus (CYP)
9328649,ALEXANDER B,14072,Container Ship,2006,Antigua and Barbuda (ATG)
9409039,ALEXANDRIA BRIDGE,40839,Container Ship,2009,Panama (PAN)
9399789,ALGARROBO,32984,Container Ship,2009,Liberia (LBR)
9339612,ALGOL,16162,Container Ship,2006,Liberia (LBR)
9292137,ALIANCA LEBLON,18334,Container Ship,2005,Brazil (BRA)
9440605,ALINDA,7545,Container Ship,2008,Netherlands (NLD)
9339600,ALIOTH,16162,Container Ship,2006,Liberia (LBR)
9295945,ALLEGORIA,66280,Container Ship,2006,Portugal (MAR) (PMD)
9401063,ALS APOLLO,40030,Container Ship,2009,Liberia (LBR)
9464716,ALS CERES,42110,Container Ship,2010,Marshall Islands (MHL)
9444417,ALS CLIVIA,41391,Container Ship,2010,Liberia (LBR)
9389382,ALS FAUNA,40487,Container Ship,2008,Singapore (SGP)
9389409,ALS FIDES,40466,Container Ship,2009,Singapore (SGP)
9389394,ALS FLORA,40487,Container Ship,2009,Singapore (SGP)
9431719,ALS JUNO,40541,Container Ship,2009,Singapore (SGP)
9431769,ALS JUPITER,40541,Container Ship,2010,Singapore (SGP)
9431757,ALS JUVENTUS,40541,Container Ship,2010,Singapore (SGP)
9327786,ALS KRONOS,66199,Container Ship,2007,Liberia (LBR)
9397913,AMALTHEA,42609,Container Ship,2009,Portugal (MAR) (PMD)
9341952,AN SHUN,7545,Container Ship,2007,Belize (BLZ)
9312652,ANASSA,18327,Container Ship,2006,Malta (MLT)
9354387,ANDANTE,9962,Container Ship,2007,Portugal (MAR) (PMD)
9470739,ANDERSON DRAGON,17211,Container Ship,2008,Panama (PAN)
9399739,ANDES,32901,Container Ship,2007,Liberia (LBR)
9399765,ANDINO,32984,Container Ship,2008,Liberia (LBR)
9333357,ANDREA,9981,Container Ship,2005,Gibraltar (GIB)
9355422,ANDROMEDA J,8273,Container Ship,2006,Cyprus (CYP)
9387102,ANGEL,54828,Container Ship,2006,Comoros (COM)
9326976,ANGELA,9962,Container Ship,2005,Gibraltar (GIB)
9399791,ANGELES,32901,Container Ship,2010,Liberia (LBR)
9399806,ANGOL,32901,Container Ship,2010,Liberia (LBR)
9354351,ANINA,11662,Container Ship,2006,Portugal (MAR) (PMD)
9362700,ANL EMORA,21018,Container Ship,2007,Panama (PAN)
9334167,ANL WANGARATTA,39906,Container Ship,2008,Malta (MLT)
9440772,ANL WARRNAMBOOL,41358,Container Ship,2009,Liberia (LBR)
9297527,ANL WENDOUREE,54592,Container Ship,2005,Korea (Republic of) (KOR)
9334155,ANL WYONG,39906,Container Ship,2008,Malta (MLT)
9306201,ANNABA,15487,Container Ship,2006,Liberia (LBR)
9437141,ANNALISA P,15334,Container Ship,2008,Antigua and Barbuda (ATG)
9347803,ANNE,9981,Container Ship,2007,Portugal (MAR) (PMD)
9396696,ANNE SIBUM,10585,Container Ship,2007,Cyprus (CYP)
9398254,ANTON SCHULTE,75582,Container Ship,2009,Malta (MLT)
9304746,ANTWERP TRADER,27059,Container Ship,2005,Malta (MLT)
9444285,APL AUSTRIA,71867,Container Ship,2007,Liberia (LBR)
9350044,APL CALIFORNIA,72704,Container Ship,2009,Malta (MLT)
9345960,APL DENVER,43071,Container Ship,2008,Liberia (LBR)
9350032,APL FLORIDA,72704,Container Ship,2008,Malta (MLT)
9350018,APL MINNESOTA,71787,Container Ship,2008,Liberia (LBR)
9350020,APL NEW JERSEY,71787,Container Ship,2008,Liberia (LBR)
9403621,APL NORWAY,71867,Container Ship,2007,Liberia (LBR)
9532783,APL OREGON,71787,Container Ship,2010,Malta (MLT)
9532771,APL TURKEY,71787,Container Ship,2009,Liberia (LBR)
9360697,APOLLON D,26358,Container Ship,2008,Liberia (LBR)
9365831,APOSTOLOS II,21092,Container Ship,2008,Marshall Islands (MHL)
9316323,APU,30047,Container Ship,2005,Palau (Republic of) (PLW)
9354375,ARA ATLANTIS,9962,Container Ship,2007,Gibraltar (GIB)
9365984,ARA LIVERPOOL,7702,Container Ship,2009,Gibraltar (GIB)
9315379,ARCHIMIDIS,89776,Container Ship,2006,Liberia (LBR)
9385611,ARGOLIKOS,40560,Container Ship,2008,Liberia (LBR)
9409027,ARGUELLO,40839,Container Ship,2009,Liberia (LBR)
9327671,ARIANA,32161,Container Ship,2006,Liberia (LBR)
9451484,ARICA BRIDGE,27094,Container Ship,2010,Panama (PAN)
9306005,ARNARFELL,8890,Container Ship,2005,Faroe Islands (FRO)
9395123,ARSOS,15375,Container Ship,2007,Cyprus (CYP)
9339595,ARTEMIS,26358,Container Ship,2008,Liberia (LBR)
9328625,ARX,6901,Container Ship,2005,Malta (MLT)
9357092,AS ANGELINA,22801,Container Ship,2007,Portugal (MAR) (PMD)
9342695,AS CALIFORNIA,28340,Container Ship,2008,Portugal (MAR) (PMD)
9314947,AS CAMELLIA,28927,Container Ship,2006,Portugal (MAR) (PMD)
9309409,AS CARELIA,28592,Container Ship,2006,Portugal (MAR) (PMD)
9311775,AS CARLOTTA,28372,Container Ship,2006,Antigua and Barbuda (ATG)
9314935,AS CAROLINA,28927,Container Ship,2006,Portugal (MAR) (PMD)
9311799,AS CHRISTIANA,28372,Container Ship,2006,Antigua and Barbuda (ATG)
9300972,AS CLARITA,32968,Container Ship,2006,Portugal (MAR) (PMD)
9314959,AS CLEMENTINA,28927,Container Ship,2006,Portugal (MAR) (PMD)
9311787,AS CLEOPATRA,28372,Container Ship,2006,Antigua and Barbuda (ATG)
9320037,AS COLUMBIA,27971,Container Ship,2006,Portugal (MAR) (PMD)
9308390,AS CONSTANTINA,27786,Container Ship,2005,Portugal (MAR) (PMD)
9315812,AS CYPRIA,28592,Container Ship,2006,Portugal (MAR) (PMD)
9395109,AS FABIANA,15375,Container Ship,2007,Portugal (MAR) (PMD)
9395135,AS FABRIZIA,15375,Container Ship,2008,Portugal (MAR) (PMD)
9437191,AS FATIMA,15334,Container Ship,2008,Portugal (MAR) (PMD)
9395094,AS FAUSTINA,15375,Container Ship,2007,Portugal (MAR) (PMD)
9395068,AS FEDERICA,15375,Container Ship,2007,Portugal (MAR) (PMD)
9395020,AS FELICIA,15375,Container Ship,2006,Portugal (MAR) (PMD)
9292450,AS FENJA,14036,Container Ship,2005,Liberia (LBR)
9368742,AS FILIPPA,16162,Container Ship,2008,Portugal (MAR) (PMD)
9395111,AS FIORELLA,15375,Container Ship,2007,Portugal (MAR) (PMD)
9292462,AS FLORA,14036,Container Ship,2005,Portugal (MAR) (PMD)
9395056,AS FLORETTA,15375,Container Ship,2007,Portugal (MAR) (PMD)
9437115,AS FLORIANA,15334,Container Ship,2008,Portugal (MAR) (PMD)
9295517,AS FRANZISKA,16162,Container Ship,2005,Antigua and Barbuda (ATG)
9366237,AS LAETITIA,9996,Container Ship,2007,Portugal (MAR) (PMD)
9435820,AS LAGUNA,9996,Container Ship,2008,Portugal (MAR) (PMD)
9362566,AS LAURETTA,9272,Container Ship,2008,Portugal (MAR) (PMD)
9294513,AS PALATIA,27100,Container Ship,2006,Portugal (MAR) (PMD)
9312418,AS PAOLA,25406,Container Ship,2005,Liberia (LBR)
9294525,AS PATRIA,27100,Container Ship,2006,Portugal (MAR) (PMD)
9364203,AS PATRICIA,27061,Container Ship,2006,Liberia (LBR)
9294549,AS PAULINE,26611,Container Ship,2006,Liberia (LBR)
9294537,AS PENELOPE,26611,Container Ship,2005,Liberia (LBR)
9374454,AS PETULIA,26936,Container Ship,2008,Liberia (LBR)
9330939,AS RAFAELA,15995,Container Ship,2007,Liberia (LBR)
9509774,AS RAGNA,17068,Container Ship,2009,Portugal (MAR) (PMD)
9330903,AS ROBERTA,15995,Container Ship,2006,Liberia (LBR)
9449821,AS ROMINA,17068,Container Ship,2009,Portugal (MAR) (PMD)
9449845,AS ROSALIA,17068,Container Ship,2009,Portugal (MAR) (PMD)
9387463,AS SABRINA,18123,Container Ship,2009,Liberia (LBR)
9410260,AS SAMANTA,18123,Container Ship,2009,Liberia (LBR)
9410272,AS SARA,18123,Container Ship,2010,Portugal (MAR) (PMD)
9387451,AS SAVANNA,18123,Container Ship,2009,Portugal (MAR) (PMD)
9410301,AS SERAFINA,18123,Container Ship,2010,Liberia (LBR)
9335812,AS SERENA,18123,Container Ship,2007,Portugal (MAR) (PMD)
9430935,AS SICILIA,21018,Container Ship,2008,Portugal (MAR) (PMD)
9335800,AS SOPHIA,18123,Container Ship,2007,Portugal (MAR) (PMD)
9410296,AS SUSANNA,18123,Container Ship,2010,Liberia (LBR)
9410284,AS SVENJA,18123,Container Ship,2010,Liberia (LBR)
8730948,ASHIYA,749,Container Ship,2006,Japan (JPN)
9309150,ASIAN ACE,18327,Container Ship,2005,Liberia (LBR)
9359117,ASIAN MOON,9956,Container Ship,2006,Cyprus (CYP)
9366433,ASIATIC BAY,10308,Container Ship,2007,Singapore (SGP)
9366445,ASIATIC CLOUD,10308,Container Ship,2007,Singapore (SGP)
9322877,ASIATIC DAWN,10308,Container Ship,2006,Singapore (SGP)
9366500,ASIATIC HORIZON,9978,Container Ship,2008,Singapore (SGP)
9366483,ASIATIC ISLAND,10308,Container Ship,2007,Singapore (SGP)
9318266,ASIATIC KING,10308,Container Ship,2005,Singapore (SGP)
9366471,ASIATIC LIBERTY,10308,Container Ship,2007,Singapore (SGP)
9366421,ASIATIC MOON,9978,Container Ship,2006,Singapore (SGP)
9366469,ASIATIC NEPTUNE,10308,Container Ship,2007,Singapore (SGP)
9366457,ASIATIC WAVE,9978,Container Ship,2007,Singapore (SGP)
9366495,ASIATIC WIND,9978,Container Ship,2008,Singapore (SGP)
9348182,ASTERIX,18199,Container Ship,2010,Canada (CAN)
9398230,ASTRID SCHULTE,75582,Container Ship,2009,Isle of Man (IMN)
9349227,ASTRORUNNER,7720,Container Ship,2007,Cyprus (CYP)
9349215,ASTROSPRINTER,7720,Container Ship,2007,Cyprus (CYP)
9378010,ATA 1,4455,Container Ship,2006,Panama (PAN)
9387669,ATA 2,4632,Container Ship,2006,Vanuatu (VUT)
9409053,ATHENS BRIDGE,40839,Container Ship,2009,Panama (PAN)
9433444,ATLANTIC EAST,7464,Container Ship,2008,Liberia (LBR)
9330850,ATLANTIC EXPRESS,9940,Container Ship,2007,Liberia (LBR)
9330848,ATLANTIC GENEVA,9940,Container Ship,2007,Liberia (LBR)
9354404,ATLANTIC GREEN,9962,Container Ship,2006,Malta (MLT)
9378929,ATLANTIC MERCHANT,9940,Container Ship,2008,Liberia (LBR)
9356658,ATLANTIC MONACO,10609,Container Ship,2008,Liberia (LBR)
9508299,ATLANTIC PEACH,9961,Container Ship,2009,Liberia (LBR)
9388417,ATLANTIC PIONEER,7532,Container Ship,2008,Liberia (LBR)
9396622,ATLANTIC SILVER,16162,Container Ship,2008,Liberia (LBR)
9339856,ATLANTIC SOLLI,23633,Container Ship,2008,Liberia (LBR)
9414137,ATLANTIC SOUTH,7170,Container Ship,2007,Liberia (LBR)
9396610,ATLANTIC WEST,16162,Container Ship,2008,Liberia (LBR)
9354648,ATOUT,18199,Container Ship,2010,Liberia (LBR)
9399777,AUSTRAL,32901,Container Ship,2008,Liberia (LBR)
9306225,AVA D,15487,Container Ship,2007,Liberia (LBR)
9295529,AVILA,9935,Container Ship,2007,Portugal (MAR) (PMD)
9436458,BACH,35991,Container Ship,2009,Liberia (LBR)
9395941,BAHAMAS,40741,Container Ship,2010,Liberia (LBR)
9426324,BAHAMIAN EXPRESS,21018,Container Ship,2010,Gibraltar (GIB)
9437062,BALBINA,52726,Container Ship,2010,Portugal (MAR) (PMD)
9290488,BALTIC BRIDGE,83011,Container Ship,2005,Marshall Islands (MHL)
9293442,BALTIC EAST,54519,Container Ship,2005,Marshall Islands (MHL)
9313204,BALTIC FULMAR,16324,Container Ship,2005,Cyprus (CYP)
9463281,BALTIC SOUTH,44234,Container Ship,2010,Marshall Islands (MHL)
9313199,BALTIC TERN,16324,Container Ship,2005,Cyprus (CYP)
9409041,BALTIC WEST,40839,Container Ship,2009,Marshall Islands (MHL)
9463279,BANGKOK BRIDGE,44234,Container Ship,2010,Panama (PAN)
9252096,BANGSA,52701,Container Ship,2006,Comoros (COM)
9437050,BARBARA,52726,Container Ship,2010,Portugal (MAR) (PMD)
9097549,BARUNA JASA,2995,Container Ship,2005,Indonesia (IDN)
9346536,BASHT,54851,Container Ship,2008,Iran (IRN)
9463267,BAY BRIDGE,44234,Container Ship,2010,Panama (PAN)
9484558,BEA SCHULTE,47877,Container Ship,2010,"Hong Kong, China (HKG)"
9333345,BEATE,9981,Container Ship,2005,Germany (DEU)
9346548,BEHNAVAZ,54851,Container Ship,2010,Iran (IRN)
9349590,BEHTA,74175,Container Ship,2009,Iran (IRN)
9308508,BEIJING,109149,Container Ship,2006,Malta (MLT)
9292230,BEIJING BRIDGE,54519,Container Ship,2005,Panama (PAN)
9412828,BELAWAN,17225,Container Ship,2007,"Hong Kong, China (HKG)"
9501772,BELGIAN EXPRESS,21018,Container Ship,2010,Gibraltar (GIB)
9318060,BELITA,91649,Container Ship,2006,Liberia (LBR)
9290440,BELLAVIA,53807,Container Ship,2005,Liberia (LBR)
9327578,BENEDIKT,9957,Container Ship,2006,Germany (DEU)
9395927,BERMUDA,40741,Container Ship,2010,Liberia (LBR)
9407885,BERNADETTE,52726,Container Ship,2009,Portugal (MAR) (PMD)
9415959,BERNARD A,17687,Container Ship,2009,Turkey (TUR)
9484546,BERNHARD SCHULTE,47877,Container Ship,2010,"Hong Kong, China (HKG)"
9383223,BF MAHIA,26435,Container Ship,2008,Antigua and Barbuda (ATG)
9376141,BF OSPREY,26435,Container Ship,2008,Antigua and Barbuda (ATG)
9355446,BG IRELAND,8246,Container Ship,2007,Cyprus (CYP)
9336335,BIENDONG FREIGHTER,5725,Container Ship,2006,Vietnam (VNM)
9279226,BIENDONG NAVIGATOR,9503,Container Ship,2005,Vietnam (VNM)
9336323,BIENDONG TRADER,5725,Container Ship,2006,Vietnam (VNM)
9437048,BLANDINE,52726,Container Ship,2009,Portugal (MAR) (PMD)
9345922,BLPL BLESSING,9990,Container Ship,2007,Singapore (SGP)
9305013,BOMAR AURORA,27915,Container Ship,2005,Marshall Islands (MHL)
9338084,BOMAR BELLINI,28616,Container Ship,2007,Malta (MLT)
9301445,BOMAR CALAIS,26836,Container Ship,2005,Portugal (MAR) (PMD)
9330501,BOMAR FULGENT,36483,Container Ship,2007,Liberia (LBR)
9330525,BOMAR HAMBURG,28616,Container Ship,2006,Malta (MLT)
9350317,BOMAR HERMES,27061,Container Ship,2006,Liberia (LBR)
9349617,BOMAR MILIONE,42020,Container Ship,2008,Liberia (LBR)
9419773,BOMAR PRAIA,35998,Container Ship,2009,Liberia (LBR)
9406934,BOMAR REBECCA,9957,Container Ship,2008,Liberia (LBR)
9358436,BOMAR RENAISSANCE,35574,Container Ship,2006,Liberia (LBR)
9408774,BOMAR RESOLUTE,35991,Container Ship,2007,Liberia (LBR)
9307839,BOMAR RESOLVE,25756,Container Ship,2005,Marshall Islands (MHL)
9316359,BOMAR SPRING,32200,Container Ship,2006,Liberia (LBR)
9334519,BOTANY BAY,28270,Container Ship,2006,Liberia (LBR)
9408451,BOUGAINVILLE COAST,6245,Container Ship,2008,Papua New Guinea (PNG)
9330989,BOX MARLIN 1,54309,Container Ship,2007,St.Kitts and Nevis (KNA)
9367188,BREMEN BELLE,66462,Container Ship,2007,Panama (PAN)
9343728,BREMEN EXPRESS,93750,Container Ship,2008,Germany (DEU)
9412866,BRIGHT LAEM CHABANG,13406,Container Ship,2007,Panama (PAN)
9332846,BRIGHTON,71786,Container Ship,2008,United Kingdom (GBR)
9458999,BROOKLYN BRIDGE,44459,Container Ship,2010,Panama (PAN)
9486116,BROTONNE BRIDGE,46444,Container Ship,2010,"Hong Kong, China (HKG)"
9450430,BUDAPEST EXPRESS,93750,Container Ship,2010,Germany (DEU)
9372872,BURGUNDY,36087,Container Ship,2008,Liberia (LBR)
9419668,BUSAN TRADER,27051,Container Ship,2009,Malta (MLT)
9377145,BUXMELODY,28050,Container Ship,2008,Liberia (LBR)
9354399,BUXTEHUDE,9962,Container Ship,2006,Antigua and Barbuda (ATG)
9412787,CALA PAGURO,17518,Container Ship,2007,Liberia (LBR)
9377705,CALA PINGUINO,17518,Container Ship,2007,Liberia (LBR)
9445887,CALANDRA,35878,Container Ship,2010,Antigua and Barbuda (ATG)
9306067,CALISTO,15487,Container Ship,2005,Liberia (LBR)
9451496,CALLAO BRIDGE,27094,Container Ship,2010,Panama (PAN)
9550371,CALYPSO,17280,Container Ship,2010,Liberia (LBR)
9527350,CAM RANH 07,3985,Container Ship,2010,Vietnam (VNM)
9484560,CAP JACKSON,47877,Container Ship,2010,Singapore (SGP)
9484572,CAP JERVIS,47877,Container Ship,2010,Singapore (SGP)
9499010,CAP PAPATELE,9954,Container Ship,2008,Singapore (SGP)
9347712,CAPE FARO,15995,Container Ship,2006,Marshall Islands (MHL)
9379363,CAPE FAWLEY,15995,Container Ship,2008,Marshall Islands (MHL)
9379375,CAPE FELTON,15995,Container Ship,2008,Marshall Islands (MHL)
9359325,CAPE FERROL,15995,Container Ship,2008,Marshall Islands (MHL)
9347724,CAPE FLINT,15995,Container Ship,2006,Marshall Islands (MHL)
9324162,CAPE FLORES,14308,Container Ship,2005,Marshall Islands (MHL)
9356842,CAPE FORBY,15995,Container Ship,2006,Marshall Islands (MHL)
9359301,CAPE FRANKLIN,15995,Container Ship,2006,Marshall Islands (MHL)
9359313,CAPE FULMAR,15995,Container Ship,2007,Marshall Islands (MHL)
9348900,CAPE MAGNUS,28007,Container Ship,2008,Marshall Islands (MHL)
9348857,CAPE MAHON,28007,Container Ship,2007,Cyprus (CYP)
9440150,CAPE MALE,35878,Container Ship,2009,Marshall Islands (MHL)
9360245,CAPE MARTIN,28007,Container Ship,2007,Cyprus (CYP)
9360271,CAPE MAYOR,28007,Container Ship,2007,Marshall Islands (MHL)
9308405,CAPE MORETON,27786,Container Ship,2005,Marshall Islands (MHL)
9436185,CAPE NABIL,18257,Container Ship,2010,Marshall Islands (MHL)
9436173,CAPE NEMO,18257,Container Ship,2010,Marshall Islands (MHL)
9354533,CAPITAINE TASMAN,16803,Container Ship,2009,Singapore (SGP)
9330915,CAPT. KATTELMANN,15995,Container Ship,2006,Singapore (SGP)
9294159,CAPT. THANASIS,28592,Container Ship,2005,Marshall Islands (MHL)
9326794,CARAT,54809,Container Ship,2005,Comoros (COM)
9429209,CARAT,9983,Container Ship,2009,Malta (MLT)
9348986,CARIBBEAN EXPRESS,18017,Container Ship,2007,Gibraltar (GIB)
9436422,CARTAGENA TRADER,35991,Container Ship,2008,Malta (MLT)
9334349,CASTOR N,35824,Container Ship,2007,Cyprus (CYP)
9429211,CERES,9983,Container Ship,2010,Antigua and Barbuda (ATG)
9403451,CFS PACENO,9957,Container Ship,2008,Jamaica (JAM)
9387607,CFS PANJANG,7464,Container Ship,2008,Jamaica (JAM)
9295957,CHACABUCO,66280,Container Ship,2006,Liberia (LBR)
9519327,CHARLIE B,15636,Container Ship,2010,Liberia (LBR)
9432232,CHARLOTTA B,17488,Container Ship,2009,Liberia (LBR)
9348687,CHICAGO,54675,Container Ship,2008,Liberia (LBR)
9295268,CHICAGO EXPRESS,93811,Container Ship,2006,Germany (DEU)
9304758,CHIQUITA EXPRESS,27059,Container Ship,2005,Liberia (LBR)
9357119,CHIQUITA PROGRESS,22801,Container Ship,2007,Liberia (LBR)
9304760,CHIQUITA TRADER,27059,Container Ship,2005,Liberia (LBR)
9357080,CHIQUITA VENTURE,22801,Container Ship,2007,Liberia (LBR)
9359260,CHRISTOPHER,16023,Container Ship,2008,Antigua and Barbuda (ATG)
9317925,CITY OF ALEXANDRIA,53481,Container Ship,2006,Cyprus (CYP)
9434474,CITY OF BEIJING,27114,Container Ship,2009,Antigua and Barbuda (ATG)
9434462,CITY OF HONGKONG,27114,Container Ship,2009,Antigua and Barbuda (ATG)
9434450,CITY OF SHANGHAI,27114,Container Ship,2009,Antigua and Barbuda (ATG)
9379387,CLAIRE A,17687,Container Ship,2008,Turkey (TUR)
9451965,CMA CGM AFRICA FOUR,40827,Container Ship,2010,Bahamas (BHS)
9451915,CMA CGM AFRICA ONE,40827,Container Ship,2010,Bahamas (BHS)
9451939,CMA CGM AFRICA THREE,40827,Container Ship,2010,Bahamas (BHS)
9451927,CMA CGM AFRICA TWO,40827,Container Ship,2010,Bahamas (BHS)
9335197,CMA CGM ALCAZAR,54778,Container Ship,2007,Panama (PAN)
9350381,CMA CGM AMBER,49810,Container Ship,2008,Malta (MLT)
9295971,CMA CGM AMERICA,42382,Container Ship,2006,Malta (MLT)
9454395,CMA CGM AMERIGO VESPUCCI,152991,Container Ship,2010,France (RIF) (FIS)
9410727,CMA CGM ANDROMEDA,131332,Container Ship,2009,Malta (MLT)
9410741,CMA CGM AQUILA,131332,Container Ship,2009,Malta (MLT)
9360154,CMA CGM ARISTOTE,17594,Container Ship,2007,Malta (MLT)
9317963,CMA CGM BLUE WHALE,54309,Container Ship,2007,Malta (MLT)
9365790,CMA CGM BUTTERFLY,111249,Container Ship,2008,Germany (DEU)
9410753,CMA CGM CALLISTO,131332,Container Ship,2010,Malta (MLT)
9449819,CMA CGM CENDRILLON,90931,Container Ship,2009,Malta (MLT)
9335202,CMA CGM CHATEAU D'IF,54778,Container Ship,2007,Malta (MLT)
9453559,CMA CGM CHRISTOPHE COLOMB,154199,Container Ship,2009,France (RIF) (FIS)
9350393,CMA CGM CORAL,49810,Container Ship,2008,Malta (MLT)
9409170,CMA CGM CORNEILLE,73779,Container Ship,2009,Liberia (LBR)
9454400,CMA CGM CORTE REAL,151446,Container Ship,2010,Malta (MLT)
9299642,CMA CGM FIDELIO,107898,Container Ship,2006,France (RIF) (FIS)
9450600,CMA CGM FIGARO,89787,Container Ship,2010,France (RIF) (FIS)
9348704,CMA CGM FLORIDA,54309,Container Ship,2008,Malta (MLT)
9400174,CMA CGM FORT DESAIX,42609,Container Ship,2010,Portugal (MAR) (PMD)
9351127,CMA CGM GEORGIA,54309,Container Ship,2008,Malta (MLT)
9365972,CMA CGM GOYA,7702,Container Ship,2008,Portugal (MAR) (PMD)
9360142,CMA CGM HERODOTE,17594,Container Ship,2007,Malta (MLT)
9362322,CMA CGM HOMERE,17594,Container Ship,2007,Malta (MLT)
9356309,CMA CGM HYDRA,128600,Container Ship,2009,Bahamas (BHS)
9365805,CMA CGM IVANHOE,111249,Container Ship,2008,Germany (DEU)
9326770,CMA CGM JAMAICA,41899,Container Ship,2006,Malta (MLT)
9397614,CMA CGM JASPER,40560,Container Ship,2009,Liberia (LBR)
9339545,CMA CGM KAILAS,21971,Container Ship,2006,Panama (PAN)
9450612,CMA CGM LA SCALA,90931,Container Ship,2010,Malta (MLT)
9299795,CMA CGM LA TRAVIATA,91410,Container Ship,2006,France (RIF) (FIS)
9409194,CMA CGM LAMARTINE,73779,Container Ship,2010,Malta (MLT)
9454412,CMA CGM LAPEROUSE,154169,Container Ship,2010,France (RIF) (FIS)
9386495,CMA CGM LAPIS,40560,Container Ship,2009,Liberia (LBR)
9399208,CMA CGM LEO,131332,Container Ship,2010,Malta (MLT)
9399193,CMA CGM LIBRA,131332,Container Ship,2009,Malta (MLT)
9454424,CMA CGM MAGELLAN,150269,Container Ship,2010,Malta (MLT)
9409209,CMA CGM MAUPASSANT,73779,Container Ship,2010,Malta (MLT)
9299800,CMA CGM MEDEA,107711,Container Ship,2006,France (RIF) (FIS)
9401099,CMA CGM MOLIERE,72884,Container Ship,2009,Malta (MLT)
9356311,CMA CGM MUSCA,128600,Container Ship,2009,Bahamas (BHS)
9406611,CMA CGM MUSSET,72884,Container Ship,2010,Malta (MLT)
9299630,CMA CGM NABUCCO,91410,Container Ship,2006,Cyprus (CYP)
9406623,CMA CGM NERVAL,72884,Container Ship,2010,Malta (MLT)
9351141,CMA CGM NEW JERSEY,54309,Container Ship,2008,Malta (MLT)
9299812,CMA CGM NORMA,107711,Container Ship,2006,France (RIF) (FIS)
9386483,CMA CGM OPAL,40560,Container Ship,2009,Liberia (LBR)
9364992,CMA CGM ORFEO,111249,Container Ship,2008,Germany (DEU)
9299628,CMA CGM OTELLO,91410,Container Ship,2005,France (RIF) (FIS)
9399210,CMA CGM PEGASUS,131332,Container Ship,2010,Malta (MLT)
9365788,CMA CGM PELLEAS,111249,Container Ship,2008,Germany (DEU)
9362437,CMA CGM PLATON,17594,Container Ship,2007,Malta (MLT)
9406635,CMA CGM RABELAIS,72884,Container Ship,2010,Malta (MLT)
9406647,CMA CGM RACINE,72884,Container Ship,2010,Malta (MLT)
9299654,CMA CGM RIGOLETTO,107711,Container Ship,2006,France (RIF) (FIS)
9295969,CMA CGM SAMBHAR,42382,Container Ship,2006,Malta (MLT)
9331000,CMA CGM SWORDFISH,54309,Container Ship,2007,Malta (MLT)
9331012,CMA CGM TARPON,54309,Container Ship,2007,Malta (MLT)
9356294,CMA CGM THALASSA,128600,Container Ship,2008,Malta (MLT)
